date,excerpt
2026-05-01,"We explore how people really use AI at work, where unseen risks form and how smarter human-led governance keeps innovation safe."
2026-04-27,"We step inside the critical first hours of a cyber incident and see how small alerts escalate, decisions compound, and teams falter when misaligned. Learn what a strong, steady response looks like - and the practical habits that help IT, OT, and leaders stay in sync under pressure."
2026-04-24,"We explore how to protect children and vulnerable adults online through safer behaviours, better awareness, and healthier digital habits."
2026-04-22,"Vulnerability management evolved from detection to prioritisation but remains reactive. We explore predicting and evaluating asset appeal to attackers. By leveraging threat intelligence, exploit trends and telemetry, this approach aims to anticipate risks, strengthen defences and counter emerging threats."
2026-04-20,Can you tell your board with confidence that your critical suppliers are secure? Most questionnaire-based programmes can't answer that. Join us as we explore what conventional TPRM misses - and what genuine supplier assurance looks like.
2026-04-17,"We’ll discuss global CISO trends, shifting compensation, the personal liability risks for CISOs, and how leaders can future‑proof their strategic position."
2026-04-16,"We’ll unpack why M365 complexity surpasses traditional admin models, why leaders feel both optimism and anxiety about AI, and how least-privilege guardrails and domain-specific AI agents enable safe automation. We’ll learn how evolving roles and a three-phase roadmap can make your tenant AI-ready with control and clarity."
2026-04-15,"Identity is the new perimeter. To accelerate IAM by 2030, organisations must strengthen governance, focus on key priorities, and promote IAM across the business. We'll be covering top actions for CISOs and identity leaders to boost security and stay ahead of emerging risks."
2026-04-09,"Exposure Management promised to replace traditional vulnerability management, yet many programs still suffer from fragmented visibility and unvalidated risk. How do you turn exposure insights into measurable risk reduction? Discover a practical, validation-driven approach that connects findings to remediation and makes CTEM operational at scale."
2026-04-08,"We explore how AI transforms due diligence, balancing innovation with integrity through responsible use and rigorous compliance checks."
2026-04-01,"Former global cyber leader Ellie turned solo sailor, shares human-centred strategies to help CISOs thrive in high-pressure roles."
2026-03-31,"We learn how to use exposure management, remediation, and metrics-driven strategies to reduce cyber risk and prevent breaches."
2026-03-27,"Apple’s platform is secure, but attackers are now targeting the people using it. From infostealers to social engineering and fake job interviews, users are the new entry point. We exclusively reveal Jamf’s 2026 Security 360 insights on what’s shifting and what security teams must prioritise next."
2026-03-26,Key insights from a study on how boards navigate cybersecurity decisions and prioritise organisational risk management.
2026-03-17,"Resilience isn’t just one trait - performance slips when areas are overlooked. Introducing the Resiliency Quad: a research-based framework uniting physical, emotional, technological, and developmental resilience. The key question: How do you sustain capacity? The solution: Balance the whole system."
2026-03-16,"Traditional incident response plans collapse under real‑world pressure. With agentic AI accelerating attacks, organisations need adaptive preparation, disciplined execution, and aligned decision‑making to strengthen resilience and prove accountability when stakes are highest."
2026-03-13,"We’ll learn how to use behavioural nudges and credible metrics to turn security awareness from ignored training into measurable, lasting behaviour change."
2026-03-11,"Supply chains are both critical and vulnerable. We explore how organisations can identify third-party risks, strengthen resilience and meet evolving regulatory demands, ensuring they navigate today’s complex threat landscape while securing their vital operations."
2026-03-10,"As cyber threats escalate, organisations must evolve beyond mere compliance to achieve true resilience. We discover actionable strategies for defence, detection and recovery using the NIST Cybersecurity Framework. Explore how to strengthen your security, continuity and resilience to deliver outcomes."
2026-03-09,"We unlock the power of holistic zero trust strategies to drive transformation, optimise ROI and overcome real-world security challenges."
2026-03-06,We learn how to turn compliance into a business asset with metrics-driven value models and real-world strategies.
2026-03-04,"The future of cybersecurity depends on a strong talent pipeline, yet many students lack the role models or opportunities to envision meaningful careers in tech. We learn how ‘Futures for All’ bridges that gap by helping organisations deliver impactful work experience to inspire the next generation."
2026-02-26,"Liz joined the SASIG as Chief of Staff in December, following what can only be described as a diverse career spanning human-centric risk and security in various forms. An RAF officer who transferred to the Royal Artillery; a move renowned in military circles as “the wrong way”; suffered a serious back injury in 2013 that changed the course of her career and lived experience as she relearned to be herself and to walk. This shaped her future move into the private sector through Financial Services Risk into Security Culture and Awareness before joining the SASIG."
2026-02-20,"We explore key identity threats that are exploiting IAM vulnerabilities. Learn how to detect security gaps, strengthen access controls, uncover early threats, modernise privileged access and align identity strategy with Zero Trust to simplify complexity, eliminating risks before attackers strike."
2026-02-18,We look at how to defend against the AI that's transforming phishing and creating attacks that evade detection.
2026-02-17,"In an increasingly interconnected and volatile digital world, securing supply chains and fostering business resilience are imperative. We explore integrating cybersecurity with innovation, managing supply chain risks, and embedding resilience to ensure continuity, trust and growth amid rising threats."
2026-02-13,"There has never been a security challenge like a Microsoft 365 tenant. With AI-driven threats accelerating, misconfigurations can quickly become high-impact vulnerabilities. Join us as we explore strategies for resilience, simplifying admin tasks and protecting your organisation’s critical digital assets."
2026-02-12,Discover cutting-edge strategies and insights to master hiring in 2026. From emerging AI-driven recruitment tools to tackling entry-level talent shortages.
2026-02-06,"Paul's story reveals how losing balance in all areas of life sparked a journey of resilience. From hitting rock bottom to founding a supportive cyber community, learn how stepping away and embracing space to think can lead to rebuilding and thriving, even in the face of collapse."
2026-02-04,"AI is transforming Security Operations Centres, offering unprecedented opportunities for growth and resilience in the face of evolving cyber threats. But how can SOCs implement AI effectively? We explore the practical application of AI, bridging the gap between theory and reality."
2026-01-20,"Dan inspires everyone with his journey and vision for leadership, we explore his transformational leadership for a better world."
2026-01-19,"2026 brings AI-driven social engineering, insider-as-a-service models, and rising Shadow AI risks. We explored key predictions, from large-scale AI incidents to new safety mandates and identity-first governance. Discover why resilience and data integrity will redefine trust for leaders."
2026-01-16,"Agentic AI is reshaping business operations, but sound governance and guardrails are essential for success. We explored strategies to unlock agentic AI’s potential while mitigating risk."
2025-12-19,"We looked back at this year’s SASIG discussions on emerging threats, AI-driven risks, regulatory and workforce demands. We’ve learned the power of innovation and resilience, but questions remain - and collaboration will be key to tackling future challenges."
2025-12-16,"The cyber threat landscape is rapidly evolving. In this webinar, Censys reveals key findings on how ransomware, APTs, and malware are reshaping risks - uncovering how malicious systems emerge, adapt, and persist, while offering insights to help defenders counter these threats."
2025-12-11,"Are you curious as to how impactful leaders seem to effortlessly control a meeting, a discussion or even a room? What tips and tricks are they using that you could incorporate to ensure that you also lead with impact."
2025-12-10,"Ransomware has become a criminal industry that is structured, scalable, and constantly innovating. What can we learn from the way threat actors run their operations? We unpack the criminal business models behind ransomware and how defenders can use that knowledge to stay one step ahead."
2025-12-08,"When a cyber incident strikes, what happens next can make all the difference. A practical, behind-the-scenes look at incident response, where we shared what we see most often, why these incidents occur, and how organisations can prepare to respond effectively."
2025-12-03,Discover a real-world case where attackers exploited a SharePoint vulnerability but faced unexpected hurdles. Learn how basic security controls turned an initial compromise into a prolonged struggle.
2025-11-26,"The 2025 Elastic Global Threat Report reveals how adversaries are evolving in the era of AI and open tools offering data-driven insights, key MITRE ATT&CK shifts, and actionable recommendations for defenders to strengthen detection and response."
2025-11-24,"How can we empower people to make secure decisions without fear? This session explores the psychology of behaviour, real-time prompts, and strategies to foster awareness, reduce risks, and create lasting change. It’s time to shift from fear-based narratives to confident, proactive action."
2025-11-20,"SASIG Webinar - Understanding the UK cyber sector and cyber skills in the UK labour market 2025-11-20 14:00:03"
2025-11-19,"Managing your external attack surface is challenging - especially with assets like websites, APIs, cloud storage, and Shadow IT often outside of your direct control. We learn how a global SaaS provider secured its vast ecosystem across Education, Fitness, and other sectors while serving hundreds of thousands of customers."
2025-11-05,"As cyber threats evolve and regulations tighten, security leaders must move from detection to real-time risk management. This session explored how the Risk Operations Center (ROC) enables proactive, automated, and data-driven risk reduction—transforming reactive defense into measurable resilience."
2025-11-04,"Dependency modelling maps interconnected systems together to assess risks, identify vulnerabilities, and optimise resilience. We explored groundbreaking techniques to empower us in aligning our strategies with the business’s goals."
2025-11-03,"Regulators demand proof of compliance. This webinar explains DORA, NIS2 and HIPAA: What they are, who’s in scope, and what they require. Learn the essentials to build compliance, show evidence and avoid duplication. What steps must you take now to be compliant and audit ready?"
2025-10-30,"This Sophos webinar delves into the critical challenges facing CISOs today, from governance to talent and stakeholder influence. We discovered how to align security objectives with business goals, build credibility, and engage boards effectively with impactful metrics and messaging."
2025-10-29,"Disordered discourse threatens democracy by distorting truth and capturing institutions. This webinar explored how false narratives evolve, spread, and become entrenched - and what we can do to stop them. Can we restore democratic accountability in a world where facts no longer speak for themselves?"
2025-10-24,"Recent breaches reveal endpoint-focused security falls short as attackers exploit third-party apps and OAuth tokens. This session examined these gaps and demonstrates how behavioural analytics and timeline-driven investigation can detect threats across applications, cloud services, and users more effectively."
2025-10-22,"Many organisations are turning to AI to deliver faster email protection yet threats still get through. These tools often lack the accuracy, transparency, and adaptability needed for resilient security."
2025-10-21,"Emily Taylor, CEO of Oxford Information Labs and founder of Global Signal Exchange, is a leading voice in cybersecurity and Internet policy. In this Chief’s Brief, she joined Martin to discuss her career, policy work, and vision for the future of data privacy and online safety."
2025-10-20,In this webinar we discovered how attackers exploit identity-based vulnerabilities to access sensitive data and bypass modern controls. We learnt how blurred lines between corporate and personal spaces enable threats and gain strategies to protect your organisation and users from these evolving attacks.
2025-10-15,"AI is a two-sided coin. It has the power to both erode and ignite our ability to build and maintain trust with prospects and partners. In this session, we’ll explore what it takes to build trust in today’s business landscape and examine how AI serves as both a champion and a challenger of trust"
2025-10-09,"Learn how to drive meaningful security awareness with behavioural nudges and proven models like MINDSPACE. In this webinar, Tim explored embedding secure habits, measuring impact and proving effectiveness - Perfect for anyone looking to make security stick and engage colleagues."
2025-10-08,"AI use has exploded, but training hasn't. People are more confident, but also more vulnerable. In a world of shadow AI and deepfake scams, how do we bridge the knowledge-doing gap?"
2025-10-03,"The cybersecurity industry has long acknowledged the importance of the human layer, but our efforts so far have, in all honesty, not meaningfully reduced the risk in this space. Why is this? And what should we be doing differently?"
